author_id,author_name,work_id,page_title,creation_date,raw_character_count,original_cleaned_character_count,cleaned_character_count,han_character_count,removed_character_count,metadata_removed_character_count,metadata_removed_block_count,paragraph_count,sentence_count,segmented_token_count,short_interaction_count,multi_interaction_count,full_pinyin_success_count,initial_pinyin_success_count,alignment_failure_count,original_script_distribution,script_distribution,opencc_changed_character_count,boundary_sequence_count,punctuation_boundary_count,latin_or_digit_boundary_count,whitespace_boundary_count,other_symbol_boundary_count,original_cleaned_sha256,simplified_cleaned_sha256
da-author-agent-phage-bc08199e,Agent Phage,da-work-986357745,伦理委员会怪谈志：乌云集结,2020-01-28,5301,5302,5302,4058,0,0,0,29,194,2378,2377,1944,4321,4321,0,simplified,simplified,0,434,427,98,103,0,890026ca6ac4407599afcd79627dee7bdab90d597bcbc778dabf581ef6a6863d,890026ca6ac4407599afcd79627dee7bdab90d597bcbc778dabf581ef6a6863d
da-author-breaddddd-d9923f3d,breaddddd,da-work-986478250,文语谈 第八期：素素,2020-01-30,5880,5704,5704,4427,176,0,0,160,94,2763,2762,2246,5008,5008,0,mixed,simplified,846,516,276,88,311,0,41a5cb855bc9921787e2acab72215e0b7f04433d2f9e2646e93a59c34e4b40a2,3f238ba38ee97d2c600a62f0d14d5a6edf354e4f06078caaa88a3ba25a3b9b2a
da-author-mscarlet-78b5e8fb,MScarlet,da-work-986500928,黎斗組長的得獎感言,2020-01-30,7198,6662,6662,5499,536,507,1,27,191,3319,3318,2740,6058,6058,0,mixed,simplified,1560,578,525,58,163,5,74f1ecf5bb7f5634e1cc236113771f096777ba3e0e56d4ddd51d1cb230d4dafc,ee11ed0fb4f8c7bb9dce85484342f058caff8af803a342f38f21fec2b0408e9b
da-author-etinjat-1c584251,Etinjat,da-work-986536790,层叠漾世歌（其一）：酩酊街上初逢酬赠忘忧人,2020-02-01,533,534,534,457,0,0,0,4,2,256,254,179,433,433,4,mixed,simplified,2,72,35,0,35,4,e256d16fdf0e32656f6fa86cd620229cbb0ca01647551f0f2fb20dff9ffa80b5,b1e446db0aca655fce5ee0400bb2ef5253fb421a161a36ab857044aa88f2c5df
da-author-etinjat-1c584251,Etinjat,da-work-986560936,星汉灿烂,2020-02-03,789,785,785,520,4,0,0,3,14,297,296,233,529,529,0,simplified,simplified,0,64,57,19,18,4,c894f5ca89cc8df7824e29b0c70c432d2d6afe3180b687c0f464b0288e4004aa,c894f5ca89cc8df7824e29b0c70c432d2d6afe3180b687c0f464b0288e4004aa
da-author-etinjat-1c584251,Etinjat,da-work-986572509,讹谬之相,2020-02-04,1255,1254,1254,892,1,0,0,3,15,508,507,419,926,926,0,simplified,simplified,0,89,88,23,25,0,8b2400d0070ed090b0c9ad776f7742eb3629cdde3e89c6f4720de538f8f0f6fe,8b2400d0070ed090b0c9ad776f7742eb3629cdde3e89c6f4720de538f8f0f6fe
da-author-etinjat-1c584251,Etinjat,da-work-987072542,应当多加关心基金会员工的精神状态，也许吧,2020-02-13,445,446,446,340,0,0,0,2,9,191,190,156,346,346,0,simplified,simplified,0,35,34,7,6,2,28358391f3cc71eac9480f00d67942e25e2485b488a431a534731adc64b84636,28358391f3cc71eac9480f00d67942e25e2485b488a431a534731adc64b84636
da-author-etinjat-1c584251,Etinjat,da-work-987087585,关于欲肉教血脉和合论神话起源文献记录,2020-02-14,1262,1258,1258,864,4,0,0,5,56,498,497,314,811,811,0,simplified,simplified,1,183,180,48,26,0,1cebc9a65875cc5c027dd8b98225e2b8819fe66951aedcaafd8463aae8e23def,db24a84ac34263eddfdd37e0d578dfa52c13c4fd32b41f19b78a3dd5bf8e9b86
da-author-etinjat-1c584251,Etinjat,da-work-987529071,那梨石音尺,2020-02-17,5783,5767,5767,4830,16,0,0,17,153,2893,2892,2384,5276,5276,0,simplified,simplified,0,508,496,49,68,0,99ab4ffa51b1da2c0129b75dbb23cec5653910a0b2b42d16494d82f6f66eb66d,99ab4ffa51b1da2c0129b75dbb23cec5653910a0b2b42d16494d82f6f66eb66d
da-author-agent-phage-bc08199e,Agent Phage,da-work-988356444,无字碑,2020-02-18,1266,1184,1184,942,82,83,1,1,27,529,528,442,970,970,0,simplified,simplified,0,87,80,23,10,0,d55f0793484a6a875e7ff991c8b24bee1cac51640d001a9fc68e486c02755009,d55f0793484a6a875e7ff991c8b24bee1cac51640d001a9fc68e486c02755009
