author_id,author_name,work_id,page_title,creation_date,raw_character_count,cleaned_character_count,han_character_count,removed_character_count,paragraph_count,sentence_count,segmented_token_count,short_interaction_count,multi_interaction_count,full_pinyin_success_count,initial_pinyin_success_count,alignment_failure_count,script_distribution
da-author-breaddddd-d9923f3d,breaddddd,da-work-75495595,旁白,2018-05-07,4906,4843,3227,63,33,158,3165,1996,1562,3558,3558,0,simplified
da-author-agent-phage-bc08199e,Agent Phage,da-work-77150018,面条虫,2018-05-12,1766,1628,1230,138,5,37,974,709,582,1291,1291,0,simplified
da-author-agent-phage-bc08199e,Agent Phage,da-work-77194250,公款旅游：周末购物,2018-05-13,4027,3885,3243,142,24,153,2597,1989,1623,3612,3612,0,simplified
da-author-breaddddd-d9923f3d,breaddddd,da-work-78844309,二合一说明书,2018-05-18,3228,3219,2389,9,12,77,1978,1339,1031,2370,2370,0,simplified
da-author-qblevi-494cde49,QBLevi,da-work-81308913,李维之死,2018-05-26,2748,2749,2233,0,4,129,1767,1311,1025,2336,2336,0,simplified
da-author-breaddddd-d9923f3d,breaddddd,da-work-81594691,黑暗料理餐厅,2018-05-27,3818,3791,2463,27,38,78,2320,1409,1060,2469,2469,0,simplified
da-author-etinjat-1c584251,Etinjat,da-work-86845638,异学零壹贰 律召调阳,2018-06-15,13091,12855,7982,236,126,421,9107,4665,2866,7531,7531,0,mixed
da-author-qblevi-494cde49,QBLevi,da-work-87676565,叄肆奇妙冒险第③话,2018-06-20,4036,4033,2986,3,12,161,2655,1823,1449,3272,3272,0,simplified
da-author-breaddddd-d9923f3d,breaddddd,da-work-89089899,鸡腿堡,2018-06-24,8161,8122,4844,39,42,253,5096,2797,2094,4891,4891,0,simplified
da-author-agent-phage-bc08199e,Agent Phage,da-work-90739777,恒星风中如惊鸿掠过，诀别不须骊歌,2018-06-30,4521,4432,3586,89,38,162,2945,2193,1732,3925,3925,0,simplified
da-author-mscarlet-78b5e8fb,MScarlet,da-work-91848682,學生檔案—S11013387,2018-07-05,8683,8471,5719,212,136,180,5212,3386,2623,6009,6009,0,mixed
da-author-breaddddd-d9923f3d,breaddddd,da-work-95136464,小小世界,2018-07-25,17974,17793,13183,181,171,534,10958,7654,5748,13402,13402,0,simplified
da-author-mscarlet-78b5e8fb,MScarlet,da-work-96021240,立國之本,2018-07-28,3315,3309,2790,6,13,92,2077,1687,1411,3098,3098,0,traditional
da-author-agent-phage-bc08199e,Agent Phage,da-work-96065592,批准改造精神/生理影响性集群意识蠕虫以帮助阻断博拉德综合症患者与外界联系的申请,2018-07-29,4047,3896,3409,151,14,95,2274,1852,1590,3442,3442,0,simplified
da-author-qblevi-494cde49,QBLevi,da-work-96998778,苍穹之上,2018-08-02,530,502,381,28,4,13,308,217,163,380,380,0,simplified
da-author-qblevi-494cde49,QBLevi,da-work-97026417,反恐24小时,2018-08-02,7333,7334,5452,0,9,382,4538,3226,2512,5738,5738,0,simplified
da-author-mscarlet-78b5e8fb,MScarlet,da-work-97195798,熔合收容站點：Site-36,2018-08-03,15876,15735,11445,141,197,324,9727,7051,5666,12717,12717,0,mixed
da-author-etinjat-1c584251,Etinjat,da-work-99731126,万里河山沉旧画 百年风雨醉新觞,2018-08-10,7929,7476,4067,453,42,288,4714,2357,1505,3862,3862,0,mixed
da-author-etinjat-1c584251,Etinjat,da-work-102674405,诗钞——乐土长歌行,2018-08-18,2412,2312,1526,100,57,80,1504,897,646,1543,1543,0,simplified
da-author-qblevi-494cde49,QBLevi,da-work-103791839,基金会内参（2018年8月刊）,2018-08-22,682,676,482,6,7,12,404,256,202,458,458,0,simplified
da-author-agent-phage-bc08199e,Agent Phage,da-work-104815943,抱着蟑螂睡一觉,2018-08-25,1491,1475,1036,16,8,33,904,624,491,1115,1115,0,simplified
da-author-agent-phage-bc08199e,Agent Phage,da-work-106634300,虚渊矽宇鲸,2018-09-04,4141,4104,2580,37,18,71,2398,1441,1111,2552,2552,0,simplified
da-author-agent-phage-bc08199e,Agent Phage,da-work-107297856,再非静滞时空,2018-09-16,5484,5343,3221,141,80,107,3130,1838,1399,3237,3237,0,simplified
da-author-qblevi-494cde49,QBLevi,da-work-107329691,凌晨星,2018-09-18,3756,3744,2926,12,14,167,2356,1711,1358,3069,3069,0,simplified
da-author-qblevi-494cde49,QBLevi,da-work-107823928,叄肆奇妙冒险最终话,2018-09-27,2688,2686,1948,2,11,114,1624,1140,887,2027,2027,0,simplified
da-author-etinjat-1c584251,Etinjat,da-work-108601495,净莲宝卷——花开福地劝民序歌,2018-10-01,480,446,353,34,24,4,283,190,129,319,319,0,simplified
da-author-etinjat-1c584251,Etinjat,da-work-117860200,国风——下民,2018-10-06,1737,1680,1053,57,40,62,1283,690,370,1060,1060,0,simplified
da-author-agent-phage-bc08199e,Agent Phage,da-work-120861372,‘起源弹’(T3Y44/ML520/SH28J),2018-10-07,4595,4504,3220,91,75,96,2618,1817,1510,3327,3327,0,simplified
da-author-agent-phage-bc08199e,Agent Phage,da-work-171135627,LTE-1969-Blaecca-Ford-Osmanthus-Spiral,2018-10-17,6025,5943,4597,82,46,136,3511,2558,2069,4627,4627,0,simplified
da-author-etinjat-1c584251,Etinjat,da-work-283577088,Gp快递：Phy-Ele-T169534964，dado买了个吉安帕,2018-10-30,6548,5615,1389,933,94,86,2779,780,551,1331,1331,0,simplified
da-author-breaddddd-d9923f3d,breaddddd,da-work-298824867,幻想遗物,2018-10-31,964,959,651,5,5,23,572,378,296,674,674,0,simplified
da-author-etinjat-1c584251,Etinjat,da-work-323030459,国风——河水,2018-11-09,6275,6123,3389,152,233,250,4770,2270,1075,3345,3345,0,mixed
da-author-etinjat-1c584251,Etinjat,da-work-365486957,原颂——太初，又称，无上至真纯灵造物煮飞天面条创世雅歌,2018-11-19,2674,2596,1995,78,27,64,1666,1219,943,2162,2162,0,simplified
da-author-mscarlet-78b5e8fb,MScarlet,da-work-378309033,當魔法與奇術交織之時,2018-11-23,26188,25891,18820,297,127,498,15337,10987,8915,19902,19902,0,mixed
da-author-agent-phage-bc08199e,Agent Phage,da-work-383975978,一切终将逝去,2018-11-26,64408,63805,43900,603,211,2058,37584,26083,21020,47103,47103,0,simplified
da-author-mscarlet-78b5e8fb,MScarlet,da-work-428735946,Gp快递：Un-Che-B9942420，鳳凰族的創世學/化學教材,2018-12-08,8886,8005,3137,881,63,183,4259,1843,1395,3238,3238,0,mixed
da-author-agent-phage-bc08199e,Agent Phage,da-work-437477013,深海珊瑚梦,2018-12-09,6720,5919,1718,801,23,105,2930,990,793,1783,1783,0,simplified
da-author-breaddddd-d9923f3d,breaddddd,da-work-437478981,急行电车,2018-12-09,3404,3394,2210,10,11,78,2034,1263,986,2249,2249,0,simplified
da-author-qblevi-494cde49,QBLevi,da-work-440694002,万世创伤,2018-12-10,616,588,425,28,2,15,327,233,177,410,410,0,simplified
da-author-qblevi-494cde49,QBLevi,da-work-486740375,绝望终局,2018-12-19,5025,5026,3871,0,9,234,3040,2190,1689,3879,3879,0,simplified
da-author-etinjat-1c584251,Etinjat,da-work-509161993,诗钞——玄牝,2019-01-01,2879,2830,1951,49,104,121,1994,1155,736,1891,1891,0,mixed
da-author-breaddddd-d9923f3d,breaddddd,da-work-527681322,狡兔三窟,2019-01-06,5785,5771,3505,14,15,173,3425,1982,1518,3500,3500,0,simplified
da-author-mscarlet-78b5e8fb,MScarlet,da-work-527868251,仙畫幻界，彼世遺民,2019-01-06,17720,17597,11687,123,49,396,11102,7343,5940,13283,13283,0,mixed
da-author-etinjat-1c584251,Etinjat,da-work-594525495,绽放在废墟上的鲜花,2019-01-26,2161,2145,1795,16,13,59,1351,1032,819,1851,1851,0,simplified
da-author-etinjat-1c584251,Etinjat,da-work-596381436,国风——日薄,2019-01-29,493,462,257,31,20,8,360,163,83,246,246,0,mixed
da-author-agent-phage-bc08199e,Agent Phage,da-work-598141989,可否当上次遇见只是一场彩排,2019-02-01,3000,2977,2504,23,13,113,1947,1522,1257,2779,2779,0,simplified
da-author-breaddddd-d9923f3d,breaddddd,da-work-598334976,物遗想幻,2019-02-10,5333,5311,3393,22,20,148,3274,1960,1469,3429,3429,0,simplified
da-author-breaddddd-d9923f3d,breaddddd,da-work-598353484,回忆相机,2019-02-11,4458,4449,2906,9,8,124,2708,1756,1364,3120,3120,0,simplified
da-author-mscarlet-78b5e8fb,MScarlet,da-work-606122515,4k序曲：基金會幻時代,2019-02-19,4250,4080,3488,170,18,103,2606,2132,1782,3914,3914,0,mixed
da-author-breaddddd-d9923f3d,breaddddd,da-work-624209317,耳机派对,2019-03-05,1131,1132,834,0,1,27,668,480,401,881,881,0,simplified
da-author-etinjat-1c584251,Etinjat,da-work-637581301,曲音——长亭四叠,2019-03-11,251,252,206,0,1,1,163,116,70,186,186,0,simplified
da-author-breaddddd-d9923f3d,breaddddd,da-work-638312903,化茧,2019-03-12,987,987,723,0,3,27,602,424,330,754,754,0,simplified
da-author-etinjat-1c584251,Etinjat,da-work-638790543,步虚列仙传——西方行者金公录,2019-03-13,979,974,788,5,3,42,628,442,288,730,730,0,simplified
da-author-etinjat-1c584251,Etinjat,da-work-639376584,疑心生暗鬼,2019-03-16,2566,2437,1900,129,16,44,1490,1082,862,1944,1944,0,simplified
da-author-etinjat-1c584251,Etinjat,da-work-674765138,游记——清明岿阳行,2019-04-05,1623,1622,1269,1,4,115,1053,700,422,1122,1122,0,simplified
da-author-etinjat-1c584251,Etinjat,da-work-680226663,笔记：没有人知道这家伙,2019-04-09,984,958,690,26,4,17,646,422,332,754,754,0,simplified
da-author-breaddddd-d9923f3d,breaddddd,da-work-693864879,蝴蝶的白日梦,2019-04-13,2048,2046,1304,2,5,41,1217,755,597,1352,1352,0,simplified
da-author-breaddddd-d9923f3d,breaddddd,da-work-706086481,缓行电车,2019-04-15,11809,11738,9304,71,64,591,7633,5626,4399,10025,10025,0,simplified
da-author-etinjat-1c584251,Etinjat,da-work-759001519,UIU档案：1996-005,2019-04-27,74,69,58,5,3,3,45,33,26,59,59,0,simplified
da-author-etinjat-1c584251,Etinjat,da-work-763105006,架起桥梁，让世界骨肉相连,2019-05-01,1785,1782,1132,3,4,22,1093,645,485,1130,1130,0,simplified
da-author-breaddddd-d9923f3d,breaddddd,da-work-783917970,“反转生死”竞赛访谈,2019-05-05,15570,15515,12946,55,60,310,9883,7787,6402,14189,14189,0,mixed
da-author-etinjat-1c584251,Etinjat,da-work-789981763,楚辞——云梦仙,2019-05-09,12545,12355,8022,190,224,582,8829,4900,3189,8089,8089,1,mixed
da-author-breaddddd-d9923f3d,breaddddd,da-work-790242651,文语谈 第一期：酸奶,2019-05-12,5839,5669,4422,170,145,134,3613,2703,2176,4879,4879,0,simplified
da-author-breaddddd-d9923f3d,breaddddd,da-work-790456839,天下没有不散的筵席,2019-05-13,3260,3239,2136,21,21,73,1948,1281,975,2256,2256,0,simplified
da-author-etinjat-1c584251,Etinjat,da-work-799620866,异学贰玖玖 巫山神女,2019-05-18,6978,6632,4178,346,56,249,4218,2408,1528,3936,3936,0,simplified
da-author-mscarlet-78b5e8fb,MScarlet,da-work-801885584,免 費 Wi-fi 隨 處 用,2019-05-30,10069,9772,4816,297,177,134,5782,2947,2338,5285,5285,0,mixed
da-author-breaddddd-d9923f3d,breaddddd,da-work-802230065,文语谈 第三期：WA,2019-06-02,10110,9882,7965,228,186,281,6255,4761,3873,8634,8634,0,simplified
da-author-etinjat-1c584251,Etinjat,da-work-802283032,三坟崖书 · 人才卷 · 无囿,2019-06-08,6157,6134,5144,23,6,246,4116,3125,2310,5435,5435,0,mixed
da-author-etinjat-1c584251,Etinjat,da-work-806659345,香城开发票，兼代办证、代购产品、代写论文,2019-06-15,2444,2362,1988,82,2,40,1453,1127,892,2019,2019,0,simplified
da-author-breaddddd-d9923f3d,breaddddd,da-work-814110819,星空便利店,2019-06-20,2201,2172,1547,29,30,46,1295,871,673,1544,1544,0,simplified
da-author-etinjat-1c584251,Etinjat,da-work-815414847,外典：衔花之蛇,2019-06-21,2141,2141,1750,0,3,67,1447,1078,885,1963,1963,0,simplified
