control,level,top1,top3,top5,mrr,switch_rate_vs_default,top1_personal_slot_rate,top1_personal_evidence_rate,top1_exact_support_rate,top1_composition_support_rate,mean_selected_control_primitive,mean_selected_recovery_confidence,mean_selected_fragmentation_ratio
personalisation_strength,-2,0.5961623850301301,0.7172428375092504,0.7503118722909399,0.6630964584334291,0.01933608203827043,0.07413045776509145,0.42675758536843217,0.00809810762237023,0.42345913944391583,0.22805518341869022,0.22805518341869022,0.2479807661063562
personalisation_strength,-1,0.5975895972090073,0.7174859921767629,0.7502484406385453,0.6638781872765274,0.008563273073263558,0.08036790358388836,0.43258272544666454,0.008246114811290834,0.42917856010149064,0.23270182783777202,0.23270182783777202,0.25081347412380856
personalisation_strength,0,0.5980019029495718,0.7174859921767629,0.7503118722909399,0.6641118458839562,0.0,0.08564330267470134,0.43723437995559783,0.008351834231948409,0.4337562110159636,0.23599002003826786,0.23599002003826786,0.2532565404782293
personalisation_strength,1,0.5977693202241252,0.7175917115974204,0.7503118722909399,0.6639666330896796,0.006903478168939634,0.09028438524156887,0.4414420128977693,0.008446981710540227,0.43790041230574056,0.23824535162307778,0.23824535162307778,0.2555953031063984
personalisation_strength,2,0.5972935828311661,0.7175177080029601,0.7502484406385453,0.663713503726179,0.012675758536843218,0.09406914050111005,0.44523734009937627,0.008626704725658104,0.4415794481446242,0.23983214369243339,0.23983214369243339,0.2577945523307029
exact_vs_composition,-2,0.5971032878739825,0.7174965641188287,0.7502484406385453,0.6636060223151772,0.0130034887408817,0.09327624484617825,0.4449518976636008,0.007770377418331748,0.4417908869859393,-0.23055517578299675,0.23951574034439838,0.2579726392119296
exact_vs_composition,-1,0.597642456919336,0.7175917115974204,0.7503118722909399,0.6638979154662521,0.007083201184057511,0.08994608309546463,0.44133629347711173,0.008076963738238714,0.43797441590020086,-0.22875500672137447,0.2381299517977205,0.2556491696683525
exact_vs_composition,0,0.5980019029495718,0.7174859921767629,0.7503118722909399,0.6641118458839562,0.0,0.08564330267470134,0.43723437995559783,0.008351834231948409,0.4337562110159636,-0.2262341236573064,0.23599002003826786,0.2532565404782293
exact_vs_composition,1,0.5975684533248757,0.7174859921767629,0.7502484406385453,0.6638711393151501,0.008626704725658104,0.08062163019346653,0.4326884448673221,0.008520985305000528,0.4291362723332276,-0.22286800908064436,0.2328059069052874,0.2507840237137682
exact_vs_composition,2,0.5960143778412095,0.7172534094513162,0.7503118722909399,0.6630321457858623,0.01951580505338831,0.07478591817316842,0.4270430278042076,0.008785283856644465,0.423321704197061,-0.218076684853119,0.22830761958107174,0.24786497816944555
composition_tolerance,-2,0.5975261655566128,0.7174859921767629,0.750259012580611,0.6638386377515676,0.00956760756951052,0.08025161222116503,0.4316735384290094,0.008383550058145681,0.4281742256052437,0.11022995125766213,0.23268040270531254,0.24989843897629666
composition_tolerance,-1,0.597864467702717,0.7175071360608943,0.7502801564647426,0.6640395023331799,0.004567078972407232,0.08286288191140713,0.4345279627867639,0.008351834231948409,0.43103922190506394,0.11127839932739131,0.2344410880188276,0.2516516800087954
composition_tolerance,0,0.5980019029495718,0.7174859921767629,0.7503118722909399,0.6641118458839562,0.0,0.08564330267470134,0.43723437995559783,0.008351834231948409,0.4337562110159636,0.11217642702738484,0.23599002003826786,0.2532565404782293
composition_tolerance,1,0.5978856115868485,0.7175599957712232,0.7503224442330056,0.6640188883076499,0.004313352362829052,0.08837086372766677,0.4400359446030236,0.008330690347816893,0.4365577756633894,0.11297463487552342,0.23730991669319312,0.25496936023180394
composition_tolerance,2,0.597642456919336,0.7175599957712232,0.750259012580611,0.663887369956975,0.008055819854107199,0.09054868379321282,0.4424463473940163,0.00830954646368538,0.43898932233851357,0.11361925775701087,0.238344664217233,0.25653582838089134
