lambda_ctx,frozen_k_pv,frozen_lambda_pv,top1,top3,mrr_at_10,missing_at_10,mean_rank_given_top10,n,authors_with_rows
0.5,1,4.0,0.7902982627141807,0.8886709881084833,0.8422045447536354,0.07103970599202404,1.3647518882975511,16171,6
1.0,1,4.0,0.7903466415366993,0.8874312299377748,0.8418703100839763,0.07103970599202404,1.367626610495465,16171,6
2.0,1,4.0,0.7869715405284179,0.8870903195111243,0.8398143505857371,0.07103970599202404,1.3737433171380962,16171,6
4.0,1,4.0,0.7543740097240571,0.8869262236791585,0.8233817549176479,0.07103970599202404,1.4097898450417432,16171,6
