k_pv,lambda_pv,top1,top3,mrr_at_10,missing_at_10,mean_rank_given_top10,n,authors_with_rows
1,0.5,0.7692369031083947,0.8567770972343743,0.8208187464812801,0.0710751368310263,1.5905015452008486,16171,6
1,1.0,0.7692369031083947,0.8602167909687953,0.8227303457352827,0.07103970599202404,1.5191947212343386,16171,6
1,2.0,0.7692369031083947,0.8765375629734704,0.8268986045819755,0.07103970599202404,1.436174082585672,16171,6
1,4.0,0.7906716492482816,0.8887353800255992,0.8424454607822544,0.07103970599202404,1.3638914542717966,16171,6
3,0.5,0.7692369031083947,0.8567770972343743,0.8210279198257523,0.06926565935181522,1.6041737324254788,16171,6
3,1.0,0.7692369031083947,0.8602167909687953,0.8230163342460476,0.06889208319013952,1.5334895119594603,16171,6
3,2.0,0.7692369031083947,0.876662823255026,0.8272979473549554,0.06859572808782774,1.4503110529747183,16171,6
3,4.0,0.7906716492482816,0.8890930931270299,0.8429857458370945,0.06863115892683001,1.3747686320169177,16171,6
5,0.5,0.7692369031083947,0.8567770972343743,0.8210279198257523,0.06926565935181522,1.6041737324254788,16171,6
5,1.0,0.7692369031083947,0.8602167909687953,0.8230224118694536,0.06883738457948424,1.533940858619525,16171,6
5,2.0,0.7692369031083947,0.876662823255026,0.8273067432419423,0.06850559863817018,1.451167619347913,16171,6
5,4.0,0.7906716492482816,0.8890930931270299,0.8429960709492225,0.06857646031617472,1.3750356550011151,16171,6
