condition,top1,top3,mrr_at_10,missing_at_10,mean_rank_given_top10
full_short,0.7231666666666667,0.8535,0.793428835978836,0.08966666666666667,1.5391761581065844
initial_short,0.329,0.48583333333333334,0.4223763888888889,0.375,2.513326449898027
full_multi3,0.37633333333333335,0.5241666666666667,0.45898597883597886,0.38716666666666666,2.2146890258455376
initial_multi3,0.07233333333333333,0.11016666666666668,0.09620066137566137,0.851,2.7935365209714553
