retrieval_k,lambda_m2,top1,top3,mrr_at_10,missing_at_10,mean_rank_given_top10,n,authors_with_rows
10,0.5,0.7256361621441726,0.8347207385511181,0.7859845158425561,0.10636106869817706,1.514370138763866,16171,6
10,1.0,0.741112939247747,0.8422220478339625,0.7963929598417173,0.10636106869817706,1.4575923000452606,16171,6
10,2.0,0.755004379518177,0.8532106840737761,0.8071079214417329,0.10636106869817706,1.3920449614897823,16171,6
10,4.0,0.7689378494862241,0.854899633437464,0.8154439471717639,0.10636106869817706,1.3559205333480169,16171,6
20,0.5,0.7264885088123041,0.8347563590176952,0.7865876380837129,0.10636106869817706,1.5133198679516384,16171,6
20,1.0,0.7405074706255816,0.8419156994180859,0.7959890985661385,0.10636106869817706,1.45988705780018,16171,6
20,2.0,0.7541037954769396,0.8523707079830968,0.8063903018374078,0.10636106869817706,1.3964478348247786,16171,6
20,4.0,0.7692865088270245,0.8545387760385071,0.815514094426871,0.10636106869817706,1.3569253402024266,16171,6
